"time","x","der(x)"
0,1,10
0.01,1.10520825459617,11.0520825459617
0.02,1.221543007435306,12.21543007435306
0.03,1.350114569218047,13.50114569218047
0.04,1.492158830018872,14.92158830018872
0.05,1.64912996071903,16.4912996071903
0.06,1.822606855447585,18.22606855447585
0.07000000000000001,2.014332801477945,20.14332801477945
0.08,2.226228100619204,22.26228100619203
0.09,2.460406926047255,24.60406926047255
0.1,2.719226008894193,27.19226008894193
0.11,3.005265944969503,30.05265944969503
0.12,3.321402008087055,33.21402008087055
0.13,3.67079278910733,36.7079278910733
0.14,4.05694203807708,40.56942038077081
0.15,4.483708611671326,44.83708611671326
0.16,4.955372452784899,49.55372452784899
0.17,5.476650250609588,54.76650250609588
0.18,6.052762862568645,60.52762862568645
0.19,6.689484489036502,66.89484489036502
0.2,7.393174445227619,73.93174445227619
0.21,8.170844202480918,81.70844202480919
0.22,9.030273739906409,90.30273739906409
0.23,9.980058562534477,99.80058562534478
0.24,11.02972863872228,110.2972863872228
0.25,12.18979191237069,121.8979191237069
0.26,13.47184598436423,134.7184598436423
0.27,14.88875765046056,148.8875765046056
0.28,16.45468755265292,164.5468755265293
0.29,18.18534489384559,181.8534489384559
0.3,20.09800234167835,200.9800234167835
0.31,22.21186165992882,222.1186165992882
0.32,24.54801124340407,245.4801124340407
0.33,27.12990951568796,271.2990951568796
0.34,29.98331266194744,299.8331266194744
0.35,33.13687541752557,331.3687541752557
0.36,36.62206141810466,366.2206141810466
0.37,40.47386803271858,404.7386803271858
0.38,44.73072658114907,447.3072658114907
0.39,49.43538147707059,494.3538147707059
0.4,54.63477475051066,546.3477475051066
0.41,60.38111070772731,603.8111070772731
0.42,66.73172964182155,667.3172964182154
0.43,73.75038803711479,737.5038803711479
0.44,81.50713062723114,815.0713062723114
0.45,90.07982081807391,900.7982081807392
0.46,99.55402431465879,995.540243146588
0.47,110.0248311147265,1100.248311147265
0.48,121.5967685806099,1215.967685806099
0.49,134.3859622020113,1343.859622020113
0.5,148.5201052575625,1485.201052575626
0.51,164.1410090740395,1641.410090740395
0.52,181.4046705122898,1814.046705122898
0.53,200.4842642468405,2004.842642468405
0.54,221.5703689027789,2215.703689027789
0.55,244.8744539197199,2448.744539197199
0.5600000000000001,270.6293515259713,2706.293515259713
0.57,299.0932878913164,2990.932878913164
0.58,330.5507240025469,3305.507240025469
0.59,365.3169728730865,3653.169728730865
0.6,403.7395814002526,4037.395814002526
0.61,446.2035596773416,4462.035596773416
0.62,493.1335425918886,4931.335425918886
0.63,544.9996303983634,5449.996303983634
0.64,602.320658887406,6023.20658887406
0.65,665.6706078149147,6656.706078149146
0.66,735.6834294939732,7356.834294939732
0.67,813.0599172227682,8130.599172227681
0.6800000000000001,898.5747041319003,8985.747041319002
0.69,993.0833889521814,9930.833889521815
0.7,1097.532533042367,10975.32533042367
0.71,1212.966704351873,12129.66704351873
0.72,1340.542587936489,13405.42587936489
0.73,1481.535415710708,14815.35415710708
0.74,1637.358686829635,16373.58686829635
0.75,1809.569180756929,18095.6918075693
0.76,1999.894287827043,19998.94287827043
0.77,2210.23442974812,22102.3442974812
0.78,2442.700665419123,24427.00665419123
0.79,2699.612895039246,26996.12895039246
0.8,2983.550962056417,29835.50962056417
0.8100000000000001,3297.347409004322,32973.47409004322
0.82,3644.153557343883,36441.53557343883
0.83,4027.429253955624,40274.29253955623
0.84,4451.023387675765,44510.23387675764
0.85,4919.162102313701,49191.62102313701
0.86,5436.546188854563,54365.46188854563
0.87,6008.337896512813,60083.37896512813
0.88,6640.278377663944,66402.78377663944
0.89,7338.673448693984,73386.73448693984
0.9,8110.534746299924,81105.34746299924
0.91,8963.565124964334,89635.65124964334
0.92,9906.327695624566,99063.27695624567
0.9300000000000001,10948.23204287555,109482.3204287555
0.94,12099.73584305821,120997.3584305821
